iter	Logloss
0	0.6129484189
1	0.5518185311
2	0.5051546167
3	0.4656784357
4	0.4384911036
5	0.4149380007
6	0.3967218741
7	0.3827541669
8	0.3709979108
9	0.3618346842
10	0.354584377
11	0.349017271
12	0.3433205438
13	0.338609159
14	0.3348428829
15	0.3317096502
16	0.3293963705
17	0.3276004918
18	0.326165263
19	0.3243862745
20	0.3230982039
21	0.3219833398
22	0.3209614593
23	0.32014282
24	0.3194481078
25	0.3188802216
26	0.3182781603
27	0.3176967218
28	0.317226342
29	0.316849007
30	0.3164578795
31	0.3161719123
32	0.3157853521
33	0.3155123689
34	0.3152656019
35	0.3150084044
36	0.3147493162
37	0.3145355045
38	0.314311704
39	0.3140615877
40	0.3138612561
41	0.3136814272
42	0.313503934
43	0.313304122
44	0.3131761004
45	0.3130515934
46	0.3128720799
47	0.312733505
48	0.3125916897
49	0.3124658247
50	0.3123433611
51	0.3122328875
52	0.3120916364
53	0.3119854667
54	0.3118700424
55	0.3117663746
56	0.3116795371
57	0.3115846298
58	0.3114921223
59	0.3113964489
60	0.311281152
61	0.3111845898
62	0.3111060582
63	0.3110178061
64	0.3109332673
65	0.3108598585
66	0.3107897503
67	0.3107034187
68	0.3106266474
69	0.310559215
70	0.3104799261
71	0.3103978274
72	0.3103130961
73	0.3102566727
74	0.3101975231
75	0.3101324743
76	0.3100732706
77	0.3100285686
78	0.3099646756
79	0.3098868184
80	0.3098286927
81	0.3097624591
82	0.3097044153
83	0.3096674784
84	0.3096091637
85	0.3095528254
86	0.3094957508
87	0.3094462266
88	0.309388516
89	0.3093310697
90	0.3092913332
91	0.3092321766
92	0.3091814021
93	0.3091154882
94	0.3090830961
95	0.3090410146
96	0.3089979833
97	0.3089544009
98	0.3089058034
99	0.3088612754
100	0.3088135831
101	0.3087515131
102	0.3087149443
103	0.3086751039
104	0.3086229956
105	0.3085781566
106	0.3085357209
107	0.3084999978
108	0.3084594093
109	0.3084295476
110	0.3083843873
111	0.308339035
112	0.3083021586
113	0.308255153
114	0.3082088862
115	0.3081651891
116	0.3081252788
117	0.3080856941
118	0.308036062
119	0.3079825206
120	0.3079454849
121	0.307909714
122	0.3078571778
123	0.307818606
124	0.3077697637
125	0.3077345123
126	0.3076972889
127	0.3076670472
128	0.3076346914
129	0.307589525
130	0.30753687
131	0.3074955475
132	0.3074421697
133	0.3073954654
134	0.3073483249
135	0.3073105607
136	0.3072686575
137	0.3072186614
138	0.3071650622
139	0.3071233089
140	0.3070711471
141	0.3070325686
142	0.3069934388
143	0.3069495298
144	0.3068979195
145	0.3068558465
146	0.3068117062
147	0.3067711265
148	0.3067232034
149	0.3066744854
150	0.3066211384
151	0.3065735761
152	0.3065282937
153	0.3064851286
154	0.306440909
155	0.3063977593
156	0.3063657455
157	0.3063158925
158	0.3062797663
159	0.3062211961
160	0.3061767028
161	0.3061292982
162	0.3060725044
163	0.3060221762
164	0.3059709946
165	0.3059340896
166	0.3058924493
167	0.3058522988
168	0.3058139883
169	0.305774447
170	0.3057429334
171	0.3057152201
172	0.3056803893
173	0.3056368785
174	0.3055901511
175	0.3055411493
176	0.3055111245
177	0.3054844538
178	0.3054323336
179	0.3053859588
180	0.3053547539
181	0.3053121244
182	0.3052743256
183	0.305243731
184	0.3052119314
185	0.3051712559
186	0.3051309546
187	0.3050805314
188	0.3050337019
189	0.3049965975
190	0.3049565652
191	0.3049212804
192	0.3048791538
193	0.3048417426
194	0.3048060746
195	0.3047492043
196	0.3047138013
197	0.304665066
198	0.3046246854
199	0.3045790633
200	0.3045525868
201	0.3045089172
202	0.3044512758
203	0.3044108483
204	0.3043718689
205	0.3043436979
206	0.3042988823
207	0.3042611963
208	0.3042374811
209	0.3042126784
210	0.3041859827
211	0.3041352175
212	0.3040990654
213	0.3040645231
214	0.3040261803
215	0.3039901014
216	0.3039543805
217	0.3039203244
218	0.3038754232
219	0.3038376047
220	0.3037990316
221	0.3037609811
222	0.3037398021
223	0.3037072125
224	0.3036715686
225	0.3036377158
226	0.3036075089
227	0.3035772751
228	0.3035443974
229	0.3035109342
230	0.3034708325
231	0.3034382175
232	0.3034073571
233	0.3033622233
234	0.3033331361
235	0.3032988261
236	0.3032659262
237	0.303233224
238	0.303188963
239	0.3031526517
240	0.3031169841
241	0.3030819343
242	0.3030443861
243	0.3030182565
244	0.3029900145
245	0.3029482583
246	0.3029138873
247	0.3028761298
248	0.3028435915
249	0.3028061591
250	0.302773706
251	0.3027421535
252	0.3027122285
253	0.3026861959
254	0.3026527604
255	0.3026161919
256	0.3025752485
257	0.3025313316
258	0.3024915526
259	0.3024526524
260	0.3024078699
261	0.3023711745
262	0.3023480105
263	0.3023113343
264	0.3022822037
265	0.3022396389
266	0.3022037877
267	0.3021753811
268	0.3021390882
269	0.3020950943
270	0.3020576491
271	0.3020252433
272	0.3019874771
273	0.3019523646
274	0.3019053859
275	0.3018684444
276	0.3018478305
277	0.3018145442
278	0.3017789448
279	0.3017405654
280	0.3017066168
281	0.3016539237
282	0.3016322957
283	0.301595682
284	0.301569489
285	0.3015401569
286	0.3014957835
287	0.3014592134
288	0.3014186464
289	0.3013891072
290	0.3013510107
291	0.3013187826
292	0.3012698815
293	0.301244246
294	0.301206869
295	0.3011677796
296	0.3011355241
297	0.3011069405
298	0.3010709742
299	0.301031416
300	0.3009847335
301	0.300954591
302	0.300918717
303	0.3008858373
304	0.3008442337
305	0.3008065555
306	0.3007740971
307	0.3007408833
308	0.3007053385
309	0.3006809682
310	0.3006567863
311	0.300618161
312	0.3005941409
313	0.3005627389
314	0.3005383172
315	0.3005051279
316	0.3004633691
317	0.3004320313
318	0.3004045167
319	0.3003662906
320	0.3003366629
321	0.3003182611
322	0.3002734375
323	0.3002384147
324	0.3001962301
325	0.3001692799
326	0.3001266386
327	0.3000914599
328	0.3000631374
329	0.3000281165
330	0.2999848328
331	0.2999588054
332	0.2999245273
333	0.299889882
334	0.2998439534
335	0.2998077447
336	0.2997709215
337	0.2997305318
338	0.2996974123
339	0.2996729355
340	0.2996370436
341	0.2996047084
342	0.2995742521
343	0.2995478429
344	0.2995195626
345	0.2994878216
346	0.2994392531
347	0.2994025602
348	0.2993672491
349	0.2993301596
350	0.299295633
351	0.2992594351
352	0.2992258986
353	0.299186439
354	0.2991437497
355	0.2991092047
356	0.2990740001
357	0.2990359318
358	0.2990015961
359	0.2989726955
360	0.298944639
361	0.2989050386
362	0.2988794901
363	0.2988493916
364	0.2988132153
365	0.298761739
366	0.2987306344
367	0.2986921549
368	0.2986682532
369	0.2986338919
370	0.2986050995
371	0.2985753772
372	0.2985483886
373	0.298524352
374	0.2984876718
375	0.2984558832
376	0.2984211307
377	0.2983843467
378	0.2983517803
379	0.2983178997
380	0.2982800469
381	0.2982484236
382	0.2982296461
383	0.2981838425
384	0.2981499548
385	0.2981157701
386	0.2980936874
387	0.2980617894
388	0.2980327525
389	0.2979972382
390	0.2979643517
391	0.2979340713
392	0.2978974154
393	0.297858529
394	0.2978400368
395	0.297806189
396	0.2977776006
397	0.297742926
398	0.2977176548
399	0.2976790652
400	0.2976541418
401	0.297627661
402	0.2976027638
403	0.2975754744
404	0.297558227
405	0.297523436
406	0.2974895185
407	0.2974599059
408	0.2974264114
409	0.2973948147
410	0.2973620995
411	0.2973353198
412	0.2973102224
413	0.2972713478
414	0.2972408701
415	0.2972010543
416	0.2971592931
417	0.2971348015
418	0.2971114975
419	0.2970714231
420	0.2970376381
421	0.2970177171
422	0.2969789182
423	0.2969484698
424	0.2969220965
425	0.296896418
426	0.2968688007
427	0.2968424623
428	0.2968153424
429	0.2967885023
430	0.2967570301
431	0.296732789
432	0.296687842
433	0.2966544619
434	0.2966109655
435	0.2965765153
436	0.2965535287
437	0.2965291372
438	0.2964972812
439	0.296457733
440	0.2964357289
441	0.2963971095
442	0.2963638371
443	0.2963423349
444	0.296308019
445	0.2962869829
446	0.2962444594
447	0.2962128527
448	0.2961752372
449	0.2961487542
450	0.296116033
451	0.2960767423
452	0.2960442911
453	0.2960227829
454	0.29600813
455	0.2959813616
456	0.2959509629
457	0.2959182695
458	0.2958808389
459	0.2958423043
460	0.2958079539
461	0.2957831521
462	0.2957591406
463	0.2957282139
464	0.2956876277
465	0.2956515577
466	0.295608189
467	0.2955952731
468	0.2955623134
469	0.2955294944
470	0.2954997528
471	0.2954702489
472	0.2954474828
473	0.2954149542
474	0.2953681008
475	0.2953338515
476	0.2952914706
477	0.2952707066
478	0.2952523867
479	0.2952219164
480	0.2951888007
481	0.2951630664
482	0.2951396478
483	0.2951073795
484	0.2950840019
485	0.295045643
486	0.2950122162
487	0.2949855974
488	0.2949528934
489	0.294927691
490	0.2949037988
491	0.2948763486
492	0.2948428111
493	0.2948057679
494	0.2947742042
495	0.2947511361
496	0.2947247501
497	0.2946969789
498	0.2946595561
499	0.2946204443
500	0.2945978927
501	0.2945617628
502	0.2945346221
503	0.2945005984
504	0.2944791382
505	0.2944333455
506	0.2944132719
507	0.2943866675
508	0.2943640376
509	0.2943434273
510	0.2943138032
511	0.2942874918
512	0.2942615768
513	0.294226334
514	0.2941851531
515	0.2941460372
516	0.2941118389
517	0.2940831032
518	0.2940405158
519	0.2940197317
520	0.2939827051
521	0.2939520802
522	0.2939230096
523	0.2938907189
524	0.2938598615
525	0.2938307979
526	0.2938106865
527	0.2937811541
528	0.2937458319
529	0.2937186117
530	0.2936818849
531	0.2936478836
532	0.2936063056
533	0.2935841558
534	0.2935516168
535	0.2935235477
536	0.2934852902
537	0.293463426
538	0.2934404085
539	0.293405156
540	0.2933742163
541	0.2933257202
542	0.2933069679
543	0.293266191
544	0.2932211505
545	0.2931845263
546	0.2931576161
547	0.2931291061
548	0.2930935651
549	0.29305335
550	0.293025677
551	0.2929967438
552	0.292975559
553	0.2929365152
554	0.2929059226
555	0.2928772823
556	0.2928515905
557	0.2928183561
558	0.2927921879
559	0.29276811
560	0.2927483194
561	0.2927091252
562	0.2926761363
563	0.2926464548
564	0.2926087255
565	0.2925799042
566	0.2925460623
567	0.29251603
568	0.2924959602
569	0.2924622713
570	0.2924321858
571	0.2924021779
572	0.2923697252
573	0.2923287665
574	0.292299077
575	0.2922729008
576	0.2922401009
577	0.2922071019
578	0.2921701785
579	0.2921294983
580	0.2920947096
581	0.2920640221
582	0.2920361395
583	0.2920135481
584	0.2919895858
585	0.291963448
586	0.291930075
587	0.2919017314
588	0.2918714177
589	0.2918446474
590	0.2918136853
591	0.2917783608
592	0.2917485545
593	0.2917213857
594	0.2916757559
595	0.2916460003
596	0.2916106431
597	0.2915797823
598	0.2915387042
599	0.2915024376
600	0.2914735471
601	0.2914395408
602	0.2914186581
603	0.2913938689
604	0.29136655
