iter	Passed	Remaining
406	6157	8971
407	6173	8958
408	6189	8944
409	6207	8932
410	6224	8919
411	6240	8905
412	6256	8892
413	6269	8873
414	6285	8859
415	6300	8844
416	6314	8828
417	6330	8814
418	6346	8800
419	6364	8788
420	6380	8774
421	6396	8760
422	6412	8747
423	6428	8733
424	6444	8719
425	6461	8705
426	6477	8692
427	6493	8678
428	6511	8666
429	6528	8653
430	6546	8642
431	6562	8628
432	6575	8610
433	6592	8597
434	6607	8582
435	6624	8568
436	6640	8554
437	6656	8541
438	6673	8527
439	6687	8511
440	6704	8498
441	6719	8483
442	6735	8469
443	6751	8454
444	6770	8443
445	6787	8431
446	6801	8414
447	6816	8398
448	6830	8382
449	6845	8366
450	6863	8354
451	6880	8341
452	6896	8327
453	6912	8313
454	6928	8298
455	6943	8283
456	6958	8268
457	6975	8254
458	6993	8242
459	7009	8228
460	7026	8214
461	7042	8201
462	7057	8185
463	7076	8174
464	7092	8160
465	7107	8144
466	7122	8129
467	7138	8114
468	7154	8099
469	7170	8085
470	7186	8071
471	7203	8058
472	7219	8043
473	7234	8028
474	7250	8013
475	7263	7996
476	7278	7980
477	7295	7966
478	7311	7952
479	7326	7936
480	7341	7921
481	7358	7907
482	7373	7892
483	7392	7880
484	7407	7866
485	7423	7851
486	7439	7836
487	7457	7823
488	7476	7812
489	7493	7798
490	7509	7785
491	7529	7774
492	7547	7762
493	7564	7748
494	7579	7732
495	7597	7719
496	7615	7707
497	7632	7693
498	7647	7678
499	7665	7665
500	7681	7651
501	7698	7636
502	7714	7622
503	7730	7607
504	7746	7592
505	7765	7581
506	7781	7567
507	7799	7554
508	7816	7539
509	7832	7525
510	7847	7509
511	7863	7494
512	7878	7478
513	7891	7461
514	7907	7447
515	7923	7432
516	7939	7417
517	7955	7402
518	7969	7385
519	7985	7371
520	8001	7356
521	8018	7342
522	8035	7328
523	8050	7312
524	8067	7299
525	8084	7284
526	8099	7269
527	8116	7255
528	8133	7242
529	8149	7226
530	8165	7212
531	8181	7197
532	8193	7178
533	8208	7163
534	8223	7147
535	8239	7132
536	8253	7116
537	8269	7101
538	8285	7086
539	8300	7071
540	8315	7055
541	8335	7043
542	8351	7029
543	8367	7013
544	8382	6998
545	8400	6984
546	8415	6969
547	8431	6954
548	8446	6938
549	8460	6922
550	8478	6908
551	8497	6896
552	8512	6880
553	8527	6865
554	8542	6849
555	8560	6835
556	8576	6820
557	8591	6805
558	8609	6791
559	8626	6777
560	8642	6763
561	8659	6748
562	8674	6733
563	8690	6717
564	8705	6702
565	8723	6688
566	8738	6673
567	8755	6659
568	8771	6643
569	8785	6627
570	8801	6612
571	8817	6597
572	8833	6582
573	8847	6565
574	8863	6551
575	8880	6537
576	8896	6521
577	8909	6504
578	8925	6490
579	8939	6473
580	8951	6455
